ID	Source_ID	CONCEPT	DOCULECT	IPA
665	Vietnam_140	(corrupt file)	Lao Cai, Vietnam	------------
943	Vietnam_418	1	Lao Cai, Vietnam	ɑ¹¹
427	Laos_427	1 (person)	Luang Nam Tha, Laos	a³³la:n³¹
446	Laos_446	1,000 (persons)	Luang Nam Tha, Laos	a³³tin³⁵la:n³¹
449	Laos_449	1,000,000 (persons)	Luang Nam Tha, Laos	a³³lan³¹la:n³¹
952	Vietnam_427	10	Lao Cai, Vietnam	sap¹¹
436	Laos_436	10 (persons)	Luang Nam Tha, Laos	sap³¹la:n³¹
447	Laos_447	10,000 (persons)	Luang Nam Tha, Laos	sap³¹tin³⁵la:n³¹
964	Vietnam_439	100	Lao Cai, Vietnam	ap¹¹pɛ²¹⁴
445	Laos_445	100 (persons)	Luang Nam Tha, Laos	a³³pe⁵³la:n³¹
448	Laos_448	100,000 (persons)	Luang Nam Tha, Laos	a³³θe³³la:n³¹
965	Vietnam_440	1000	Lao Cai, Vietnam	a¹¹tin⁵²
953	Vietnam_428	11	Lao Cai, Vietnam	sap¹¹bjɛt³³
954	Vietnam_429	12	Lao Cai, Vietnam	sap¹¹ȵe¹¹
955	Vietnam_430	13	Lao Cai, Vietnam	sap¹¹sam²¹⁴
956	Vietnam_431	14	Lao Cai, Vietnam	sap¹¹θe³⁵
957	Vietnam_432	15	Lao Cai, Vietnam	sap¹¹ŋo³⁴¹
958	Vietnam_433	16	Lao Cai, Vietnam	sap¹¹gu³³
959	Vietnam_434	17	Lao Cai, Vietnam	sap¹¹kjɛt⁵²
960	Vietnam_435	18	Lao Cai, Vietnam	sap¹¹pit³¹
961	Vietnam_436	19	Lao Cai, Vietnam	sap¹¹ȶu⁴⁴
944	Vietnam_419	2	Lao Cai, Vietnam	i³⁵
428	Laos_428	2 (persons)	Luang Nam Tha, Laos	i³³la:n³¹
962	Vietnam_437	20	Lao Cai, Vietnam	ni³³sap¹¹
437	Laos_437	20 (persons)	Luang Nam Tha, Laos	ȵi³¹sap³¹la:n³¹
963	Vietnam_438	21	Lao Cai, Vietnam	ni³³sap¹¹ȵe¹¹
945	Vietnam_420	3	Lao Cai, Vietnam	po²¹⁴
429	Laos_429	3 (persons)	Luang Nam Tha, Laos	pu⁵³la:n³¹
438	Laos_438	30 (persons)	Luang Nam Tha, Laos	θam³³sap³¹la:n³¹
946	Vietnam_421	4	Lao Cai, Vietnam	pje²¹⁴
430	Laos_430	4 (persons)	Luang Nam Tha, Laos	pi⁵³la:n³¹
439	Laos_439	40 (persons)	Luang Nam Tha, Laos	θe³³sap³¹la:n³¹
947	Vietnam_422	5	Lao Cai, Vietnam	pja²¹⁴
431	Laos_431	5 (persons)	Luang Nam Tha, Laos	pja⁵³la:n³¹
440	Laos_440	50 (persons)	Luang Nam Tha, Laos	ŋo³⁴¹sap³¹la:n³¹
948	Vietnam_423	6	Lao Cai, Vietnam	kjɔ²¹⁴
432	Laos_432	6 (persons)	Luang Nam Tha, Laos	kjo⁵³la:n³¹
441	Laos_441	60 (persons)	Luang Nam Tha, Laos	gu³¹sap³¹la:n³¹
949	Vietnam_424	7	Lao Cai, Vietnam	ȵi³³
433	Laos_433	7 (persons)	Luang Nam Tha, Laos	ȵi³¹la:n³¹
442	Laos_442	70 (persons)	Luang Nam Tha, Laos	ȶɛt³⁵sap³¹la:n³¹
950	Vietnam_425	8	Lao Cai, Vietnam	jɐt³³
434	Laos_434	8 (persons)	Luang Nam Tha, Laos	jɛt³¹la:n³¹
443	Laos_443	80 (persons)	Luang Nam Tha, Laos	pit⁵³sap³¹la:n³¹
951	Vietnam_426	9	Lao Cai, Vietnam	du¹¹
435	Laos_435	9 (persons)	Luang Nam Tha, Laos	du³³la:n³¹
444	Laos_444	90 (persons)	Luang Nam Tha, Laos	ȶu³³sap³¹la:n³¹
940	Vietnam_415	I	Lao Cai, Vietnam	ja²¹⁴
268	Laos_268	I (1s)	Luang Nam Tha, Laos	ja⁵³
856	Vietnam_331	above	Lao Cai, Vietnam	ȶɐj³³
710	Vietnam_185	afternoon	Lao Cai, Vietnam	kaj³³ȡam³⁵
855	Vietnam_330	alive	Lao Cai, Vietnam	saŋ³¹
451	Laos_451	all	Luang Nam Tha, Laos	θɔŋ³³ȡu³⁴¹
719	Vietnam_194	ancestor	Lao Cai, Vietnam	θɐm¹¹sɐw⁴⁴
171	Laos_171	animal	Luang Nam Tha, Laos	θuŋ³⁵haw³³
526	Vietnam_1	ant	Lao Cai, Vietnam	θɐw³³
783	Vietnam_258	anvil	Lao Cai, Vietnam	-------
99	Laos_99	apple	Luang Nam Tha, Laos	mak²¹pom³¹pjo³³
581	Vietnam_56	arm	Lao Cai, Vietnam	pu.θe⁵²
246	Laos_246	armpit	Luang Nam Tha, Laos	kə.ȡap³¹di³³
746	Vietnam_221	artisan	Lao Cai, Vietnam	------------
318	Laos_318	ashes	Luang Nam Tha, Laos	to³⁴¹sa:j¹¹
787	Vietnam_262	ashes	Lao Cai, Vietnam	sɑj³³
762	Vietnam_237	awl	Lao Cai, Vietnam	θun²¹⁴
330	Laos_330	axe	Luang Nam Tha, Laos	po³³
763	Vietnam_238	axe	Lao Cai, Vietnam	pɐw⁴⁴
238	Laos_238	back	Luang Nam Tha, Laos	tan³³ka:n⁵³
582	Vietnam_57	back	Lao Cai, Vietnam	kɐ.tan⁴⁴kaŋ²¹⁴
854	Vietnam_329	bad	Lao Cai, Vietnam	ho³³
764	Vietnam_239	bag	Lao Cai, Vietnam	ti³³
510	Laos_510	bald	Luang Nam Tha, Laos	pje³³ȡa:n³³
86	Laos_86	bamboo	Luang Nam Tha, Laos	la:w¹¹
88	Laos_88	bamboo pole	Luang Nam Tha, Laos	law¹¹ȶe⁵³
87	Laos_87	bamboo shoot	Luang Nam Tha, Laos	law¹¹bjaj²¹
93	Laos_93	banana	Luang Nam Tha, Laos	kum³¹ȶaw³⁴¹
666	Vietnam_141	banana	Lao Cai, Vietnam	kum¹¹ȶaw³⁴¹
667	Vietnam_142	banana flower	Lao Cai, Vietnam	kɐ.ȡu²¹⁴
668	Vietnam_143	banana leaf	Lao Cai, Vietnam	θiw¹¹nɔm³¹
638	Vietnam_113	bank river	Lao Cai, Vietnam	wɐm²¹⁴sin³¹
542	Vietnam_17	barking deer	Lao Cai, Vietnam	ȶuŋ²¹⁴
333	Laos_333	basket	Luang Nam Tha, Laos	da:n⁵³
765	Vietnam_240	basket i	Lao Cai, Vietnam	gjɑŋ¹¹mɑw³¹
766	Vietnam_241	basket ri	Lao Cai, Vietnam	gjɐm³⁴¹
767	Vietnam_242	basket wi	Lao Cai, Vietnam	sɑŋ⁵²
527	Vietnam_2	bat	Lao Cai, Vietnam	klɐ.buj⁵²
168	Laos_168	bean	Luang Nam Tha, Laos	tɔp³¹
669	Vietnam_144	bean	Lao Cai, Vietnam	tɔp³³
173	Laos_173	bear	Luang Nam Tha, Laos	kjap²¹
528	Vietnam_3	bear	Lao Cai, Vietnam	kjɐp³³
237	Laos_237	beard	Luang Nam Tha, Laos	ȡɛt²¹θɔm³⁵
583	Vietnam_58	beard	Lao Cai, Vietnam	θɔm⁵²
788	Vietnam_263	bed	Lao Cai, Vietnam	ȶo⁵²
214	Laos_214	bee	Luang Nam Tha, Laos	məj³⁴¹
529	Vietnam_4	bee	Lao Cai, Vietnam	mɐj³⁴¹muŋ⁴⁴
584	Vietnam_59	belly	Lao Cai, Vietnam	ȵo³³
853	Vietnam_328	below	Lao Cai, Vietnam	di⁴⁴
92	Laos_92	betelnut	Luang Nam Tha, Laos	θɛn⁵³
190	Laos_190	bird	Luang Nam Tha, Laos	nɔ²¹
530	Vietnam_5	bird	Lao Cai, Vietnam	nɔ³³
191	Laos_191	bird's nest	Luang Nam Tha, Laos	nɔ²¹gjaw³⁴¹
852	Vietnam_327	bitter	Lao Cai, Vietnam	im²¹⁴
478	Laos_478	black	Luang Nam Tha, Laos	kja⁵³
851	Vietnam_326	black	Lao Cai, Vietnam	gja:²¹⁴
124	Laos_124	black pepper	Luang Nam Tha, Laos	haw³¹θiw⁵³pjo³³
304	Laos_304	blanket	Luang Nam Tha, Laos	θɔŋ³⁵
789	Vietnam_264	blanket	Lao Cai, Vietnam	θɔŋ⁵²
850	Vietnam_325	blind	Lao Cai, Vietnam	mɐj³³bu³³
263	Laos_263	blood	Luang Nam Tha, Laos	sa:m¹¹
585	Vietnam_60	blood	Lao Cai, Vietnam	θa:m³³
750	Vietnam_225	blouse	Lao Cai, Vietnam	gjɐm⁴⁴
297	Laos_297	boat	Luang Nam Tha, Laos	da:ŋ¹¹
790	Vietnam_265	boat	Lao Cai, Vietnam	dɑŋ³³
586	Vietnam_61	body	Lao Cai, Vietnam	θin⁵²
632	Vietnam_107	boil/ulcer	Lao Cai, Vietnam	bew³⁴¹
125	Laos_125	boiling water	Luang Nam Tha, Laos	wɔm⁵³vəj¹³
258	Laos_258	bone	Luang Nam Tha, Laos	θuŋ³³
587	Vietnam_62	bone	Lao Cai, Vietnam	θuŋ⁴⁴
565	Vietnam_40	bore	Lao Cai, Vietnam	tuŋ³¹kɐw⁴⁴
159	Laos_159	bottle	Luang Nam Tha, Laos	ȵɛw²¹
155	Laos_155	bowl	Luang Nam Tha, Laos	wan³³
768	Vietnam_243	bowl	Lao Cai, Vietnam	wɐn⁴⁴
751	Vietnam_226	bracelet	Lao Cai, Vietnam	sɑm¹¹
221	Laos_221	brain	Luang Nam Tha, Laos	pje³³le²¹
588	Vietnam_63	brain	Lao Cai, Vietnam	pi⁴⁴le⁴⁴
76	Laos_76	branch	Luang Nam Tha, Laos	gjaŋ³³gwa:³¹
720	Vietnam_195	bride	Lao Cai, Vietnam	ȵɑm²¹⁴
791	Vietnam_266	bridge	Lao Cai, Vietnam	ȶo¹¹
12	Laos_12	bright	Luang Nam Tha, Laos	gwaŋ⁵³daŋ³⁵
284	Laos_284	brother (elder of f)	Luang Nam Tha, Laos	pɛ⁵³
285	Laos_285	brother (elder of m)	Luang Nam Tha, Laos	ȵaːm³³
288	Laos_288	brother(younger of f)	Luang Nam Tha, Laos	jo³⁴¹
289	Laos_289	brother(younger of m)	Luang Nam Tha, Laos	naw³⁴¹
186	Laos_186	buffalo	Luang Nam Tha, Laos	ŋɔŋ³³bu¹¹
531	Vietnam_6	buffalo	Lao Cai, Vietnam	ŋɔŋ¹¹
589	Vietnam_64	butt	Lao Cai, Vietnam	kɐ.tlaj⁴⁴kɐ⁵²
216	Laos_216	butterfly	Luang Nam Tha, Laos	pluŋ³¹blo³⁴¹
250	Laos_250	buttocks	Luang Nam Tha, Laos	kə.da:j³³
670	Vietnam_145	cabbage	Lao Cai, Vietnam	ȵe¹¹gjaj³⁵
254	Laos_254	calf	Luang Nam Tha, Laos	θaw³³ȡiŋ³³
320	Laos_320	candle	Luang Nam Tha, Laos	ȶo⁵³
110	Laos_110	carrot	Luang Nam Tha, Laos	tə.bak²¹pjo³³
780	Vietnam_255	carrying pole	Lao Cai, Vietnam	nɐ.muŋ⁵²
181	Laos_181	cat	Luang Nam Tha, Laos	ma:w³¹
182	Laos_182	cat	Luang Nam Tha, Laos	-------
532	Vietnam_7	cat	Lao Cai, Vietnam	ma:w¹¹
533	Vietnam_8	caterpillar	Lao Cai, Vietnam	buŋ³³blɐw³⁴¹
60	Laos_60	cave	Luang Nam Tha, Laos	ȶɔ.bɛŋ³¹kɔt³⁵
639	Vietnam_114	cave	Lao Cai, Vietnam	ȶɔ.bɛŋ³¹kɔt³⁵
534	Vietnam_9	centipede	Lao Cai, Vietnam	θap⁵²
792	Vietnam_267	charcoal	Lao Cai, Vietnam	tɐw³¹tɑn⁵²
228	Laos_228	cheek	Luang Nam Tha, Laos	min³⁵uj⁵³
590	Vietnam_65	chest	Lao Cai, Vietnam	kɐ.lap³¹
197	Laos_197	chicken	Luang Nam Tha, Laos	ȶɐ⁵³
537	Vietnam_12	chicken	Lao Cai, Vietnam	ȶɐj²¹⁴
535	Vietnam_10	chicken cock	Lao Cai, Vietnam	ȶɐj²¹⁴kɔŋ³¹
536	Vietnam_11	chicken hen	Lao Cai, Vietnam	⁣ȶɐj²¹⁴ȵɐj³⁴¹
280	Laos_280	child	Luang Nam Tha, Laos	səj³³
723	Vietnam_198	child	Lao Cai, Vietnam	mun¹¹sɐj⁴⁴
671	Vietnam_146	chili pepper	Lao Cai, Vietnam	duŋ³³ma:t³³
236	Laos_236	chin	Luang Nam Tha, Laos	klaŋ⁵³ŋam³⁴¹
635	Vietnam_110	chin	Lao Cai, Vietnam	-------
784	Vietnam_259	chisel	Lao Cai, Vietnam	-------
157	Laos_157	chopsticks	Luang Nam Tha, Laos	ȶo²¹
769	Vietnam_244	chopsticks	Lao Cai, Vietnam	ȶɐw³³
128	Laos_128	cigarette	Luang Nam Tha, Laos	jin³⁵bja:t³¹
63	Laos_63	cliff	Luang Nam Tha, Laos	gjaw⁵³bɛŋ¹³
640	Vietnam_115	cliff	Lao Cai, Vietnam	gjaw²¹⁴pje³¹
752	Vietnam_227	cloth	Lao Cai, Vietnam	buj³⁵
306	Laos_306	clothing	Luang Nam Tha, Laos	guj⁵³
753	Vietnam_228	clothing	Lao Cai, Vietnam	ŋuj²¹⁴kwɑ⁵²
14	Laos_14	cloud	Luang Nam Tha, Laos	van¹³
641	Vietnam_116	cloud	Lao Cai, Vietnam	vɐn¹³
26	Laos_26	cloudy day	Luang Nam Tha, Laos	guŋ³¹naj³¹van¹³
591	Vietnam_66	cockcmbi	Lao Cai, Vietnam	gɐn²¹⁴
211	Laos_211	cockroach	Luang Nam Tha, Laos	bjan³⁴¹
96	Laos_96	coconut	Luang Nam Tha, Laos	mak²¹paw³³pjo³³
89	Laos_89	coconut tree	Luang Nam Tha, Laos	mak²¹paw³¹gjaŋ¹³
322	Laos_322	coffin	Luang Nam Tha, Laos	bin³³
672	Vietnam_147	cogongrass	Lao Cai, Vietnam	ga:n²¹⁴
849	Vietnam_324	cold	Lao Cai, Vietnam	sɔŋ⁴⁴
312	Laos_312	comb	Luang Nam Tha, Laos	ȶa⁵³
754	Vietnam_229	comb	Lao Cai, Vietnam	ȶɑ²¹⁴
517	Laos_517	cool	Luang Nam Tha, Laos	θiŋ¹³
848	Vietnam_323	cool	Lao Cai, Vietnam	θiŋ³⁵
793	Vietnam_268	coop	Lao Cai, Vietnam	ȶe²¹⁴ko⁵²
642	Vietnam_117	copper	Lao Cai, Vietnam	tɔŋ¹¹
673	Vietnam_148	corn	Lao Cai, Vietnam	buŋ³³mɐj³⁴¹
592	Vietnam_67	corpse	Lao Cai, Vietnam	mun¹¹tɐj³³
674	Vietnam_149	cotton	Lao Cai, Vietnam	buj³³min³¹
153	Laos_153	cover	Luang Nam Tha, Laos	gaj¹³
184	Laos_184	cow	Luang Nam Tha, Laos	ŋɔŋ³³wa:ŋ³¹
538	Vietnam_13	cow/ox	Lao Cai, Vietnam	ŋɔ¹¹wa:ŋ¹¹
539	Vietnam_14	crab	Lao Cai, Vietnam	kjɐm³⁵ȵaj²¹⁴
540	Vietnam_15	cricket	Lao Cai, Vietnam	kjɛŋ²¹⁴kjo³¹
203	Laos_203	crocodile	Luang Nam Tha, Laos	tu³³ȵe³⁴¹tu³³da:n³¹
541	Vietnam_16	crow	Lao Cai, Vietnam	ku.a:³¹
109	Laos_109	cucumber	Luang Nam Tha, Laos	kwa⁵³
675	Vietnam_150	cucumber	Lao Cai, Vietnam	kwa²¹⁴kjo³¹
160	Laos_160	cup	Luang Nam Tha, Laos	ȶɔk²¹
135	Laos_135	cutting board	Luang Nam Tha, Laos	ȶum³¹ȡɛŋ³¹
13	Laos_13	dark	Luang Nam Tha, Laos	ȡam²¹
724	Vietnam_199	daughter	Lao Cai, Vietnam	mun¹¹sɑ⁵²
747	Vietnam_222	daughter-in-law	Lao Cai, Vietnam	------------
29	Laos_29	day	Luang Nam Tha, Laos	mə.nɔj³⁵ȶa:¹³
711	Vietnam_186	day	Lao Cai, Vietnam	mɐ.nɔj⁵²ȶa:³⁵
847	Vietnam_322	dead	Lao Cai, Vietnam	daj³³
174	Laos_174	deer	Luang Nam Tha, Laos	ȶim³³ȡa:j³¹
725	Vietnam_200	descendant	Lao Cai, Vietnam	se⁴⁴θun²¹⁴
518	Laos_518	difficult	Luang Nam Tha, Laos	ȶo²¹
156	Laos_156	dish	Luang Nam Tha, Laos	ba:n³¹
643	Vietnam_118	ditch	Lao Cai, Vietnam	θin³⁵wɐm²¹⁴
794	Vietnam_269	dock, boat	Lao Cai, Vietnam	bɐj¹¹
178	Laos_178	dog	Luang Nam Tha, Laos	klu³³
544	Vietnam_19	dog	Lao Cai, Vietnam	klu⁴⁴
299	Laos_299	door	Luang Nam Tha, Laos	kjɛŋ³¹
795	Vietnam_270	door	Lao Cai, Vietnam	kjɛŋ¹¹
545	Vietnam_20	dragon	Lao Cai, Vietnam	kuŋ²¹⁴
546	Vietnam_21	dragon fly	Lao Cai, Vietnam	kjɛŋ²¹⁴nuŋ⁴⁴
707	Vietnam_182	dream	Lao Cai, Vietnam	be³⁵
27	Laos_27	drought	Luang Nam Tha, Laos	guŋ⁵³ha:n³⁵
846	Vietnam_321	dry	Lao Cai, Vietnam	gaj⁵²
198	Laos_198	duck	Luang Nam Tha, Laos	a:p⁵³
547	Vietnam_22	duck1	Lao Cai, Vietnam	a:p¹¹
548	Vietnam_23	duck2	Lao Cai, Vietnam	-----------
50	Laos_50	dust	Luang Nam Tha, Laos	ni³⁵buŋ³⁵
549	Vietnam_24	eagle	Lao Cai, Vietnam	kla:ŋ⁴⁴
229	Laos_229	ear	Luang Nam Tha, Laos	mə.nɔm³¹
845	Vietnam_320	early	Lao Cai, Vietnam	gjo⁴⁴
755	Vietnam_230	earring	Lao Cai, Vietnam	bin⁵²
593	Vietnam_68	ears	Lao Cai, Vietnam	mɐ.nɔm¹¹
644	Vietnam_119	earth	Lao Cai, Vietnam	ni⁵²
48	Laos_48	earth, soil	Luang Nam Tha, Laos	ni³⁵
61	Laos_61	earthquake	Luang Nam Tha, Laos	guŋ ³¹ni³⁵tɔŋ³⁴¹
218	Laos_218	earthworm	Luang Nam Tha, Laos	duŋ³¹na:ŋ⁵³
578	Vietnam_53	earthworm	Lao Cai, Vietnam	nuŋ¹¹naŋ²¹⁴
35	Laos_35	east	Luang Nam Tha, Laos	tɔŋ⁵³fa:n¹³
36	Laos_36	east	Luang Nam Tha, Laos	mə.nɔj³⁵sɛt³¹fa:n¹³
519	Laos_519	easy	Luang Nam Tha, Laos	həj¹¹
196	Laos_196	egg	Luang Nam Tha, Laos	kjaw¹³
594	Vietnam_69	egg	Lao Cai, Vietnam	kjaw³⁵
100	Laos_100	eggplant	Luang Nam Tha, Laos	kə.daŋ³³
676	Vietnam_151	eggplant	Lao Cai, Vietnam	kɐ.taŋ⁴⁴
245	Laos_245	elbow	Luang Nam Tha, Laos	θe³¹ȡɔŋ⁵³
189	Laos_189	elephant	Luang Nam Tha, Laos	kjaŋ³⁴¹
712	Vietnam_187	evening	Lao Cai, Vietnam	ȡa:m³³
266	Laos_266	excrement	Luang Nam Tha, Laos	da:j³³
598	Vietnam_73	excrement	Lao Cai, Vietnam	dɐj⁴⁴
225	Laos_225	eye	Luang Nam Tha, Laos	məj²¹
595	Vietnam_70	eye	Lao Cai, Vietnam	mɐj³³
224	Laos_224	eyebrow	Luang Nam Tha, Laos	məj²¹jap³⁵pje⁵³
596	Vietnam_71	eyebrows	Lao Cai, Vietnam	mɐj³³ma:j³¹
226	Laos_226	eyelid	Luang Nam Tha, Laos	məj²¹dup²¹
220	Laos_220	face	Luang Nam Tha, Laos	min³⁵
597	Vietnam_72	face	Lao Cai, Vietnam	min⁵²
844	Vietnam_319	far	Lao Cai, Vietnam	gɔ²¹⁴
261	Laos_261	fat	Luang Nam Tha, Laos	məj³⁵pi³¹
677	Vietnam_152	fat	Lao Cai, Vietnam	mɐj⁵²
278	Laos_278	father	Luang Nam Tha, Laos	fa:³³
726	Vietnam_201	father’s older brother	Lao Cai, Vietnam	pɛ²¹⁴
727	Vietnam_202	father’s younger brother	Lao Cai, Vietnam	jo³⁴¹
193	Laos_193	feather	Luang Nam Tha, Laos	nɔ²¹pje⁵³
248	Laos_248	finger	Luang Nam Tha, Laos	pu³⁴¹dɔ⁵³
599	Vietnam_74	finger	Lao Cai, Vietnam	pu.dɔ³¹
249	Laos_249	fingernail	Luang Nam Tha, Laos	pu³⁴¹dɔ⁵³waj¹³
600	Vietnam_75	fingernail	Lao Cai, Vietnam	pu.dɔ³¹waj³⁵
317	Laos_317	fire	Luang Nam Tha, Laos	to³⁴¹
770	Vietnam_245	fire	Lao Cai, Vietnam	tɐw³¹
771	Vietnam_246	fire tongs	Lao Cai, Vietnam	pja⁴⁴
796	Vietnam_271	firewood	Lao Cai, Vietnam	θɑŋ¹¹
199	Laos_199	fish	Luang Nam Tha, Laos	bjaw³⁴¹
550	Vietnam_25	fish	Lao Cai, Vietnam	bjaw³⁴¹
772	Vietnam_247	fishnet	Lao Cai, Vietnam	lɛ³³
843	Vietnam_318	fishy	Lao Cai, Vietnam	θe³³diŋ⁵²
551	Vietnam_26	flea	Lao Cai, Vietnam	klɐ.muŋ⁵²
260	Laos_260	flesh	Luang Nam Tha, Laos	a³³ȡa:j⁵³
68	Laos_68	flood	Luang Nam Tha, Laos	wɔm⁵³ja:m¹³
81	Laos_81	flower	Luang Nam Tha, Laos	gjaŋ³³fa:ŋ³¹
678	Vietnam_153	flower	Lao Cai, Vietnam	faŋ¹¹
215	Laos_215	fly	Luang Nam Tha, Laos	kjiŋ⁵³gjəm³⁵
552	Vietnam_27	fly	Lao Cai, Vietnam	kjɛŋ²¹⁴gjɐm⁵²
645	Vietnam_120	fog	Lao Cai, Vietnam	kja:³⁵
256	Laos_256	foot	Luang Nam Tha, Laos	θaw¹³
601	Vietnam_76	foot (surface)	Lao Cai, Vietnam	θaw³⁵pen⁴⁴
223	Laos_223	forehead	Luang Nam Tha, Laos	min³⁵dup²¹
74	Laos_74	forest	Luang Nam Tha, Laos	kim³¹
646	Vietnam_121	forest	Lao Cai, Vietnam	kim¹¹
842	Vietnam_317	fragrant	Lao Cai, Vietnam	daŋ²¹⁴
292	Laos_292	friend	Luang Nam Tha, Laos	pɛw³⁵
293	Laos_293	friend	Luang Nam Tha, Laos	lo³³toj²¹
204	Laos_204	frog	Luang Nam Tha, Laos	ȶɛŋ³³
553	Vietnam_28	frog	Lao Cai, Vietnam	ȶɛŋ⁴⁴
82	Laos_82	fruit	Luang Nam Tha, Laos	gjaŋ³³pjo³³
679	Vietnam_154	fruit	Lao Cai, Vietnam	pjo⁴⁴
137	Laos_137	frying pan	Luang Nam Tha, Laos	ȶɛŋ³⁵
841	Vietnam_316	full	Lao Cai, Vietnam	bɔŋ⁵²
797	Vietnam_272	garden	Lao Cai, Vietnam	ȡin⁵²
103	Laos_103	garlic	Luang Nam Tha, Laos	tun³⁵pje³³
680	Vietnam_155	garlic	Lao Cai, Vietnam	tun⁵²
384	Laos_384	ghost	Luang Nam Tha, Laos	ma:n¹¹
102	Laos_102	ginger	Luang Nam Tha, Laos	θuŋ³⁵
554	Vietnam_29	goat	Lao Cai, Vietnam	juŋ¹¹
54	Laos_54	gold	Luang Nam Tha, Laos	səm⁵³
647	Vietnam_122	gold	Lao Cai, Vietnam	sɐm²¹⁴
840	Vietnam_315	good	Lao Cai, Vietnam	gɔŋ³³ve³⁴¹
579	Vietnam_54	goose	Lao Cai, Vietnam	-------
728	Vietnam_203	grandfather	Lao Cai, Vietnam	klɑw³⁴¹
729	Vietnam_204	grandmother	Lao Cai, Vietnam	bo³⁴¹
85	Laos_85	grass	Luang Nam Tha, Laos	ma:¹¹
681	Vietnam_156	grass	Lao Cai, Vietnam	ma:³³
555	Vietnam_30	grasshopper	Lao Cai, Vietnam	kjɛŋ²¹⁴bo³¹
798	Vietnam_273	grave	Lao Cai, Vietnam	θo⁴⁴
481	Laos_481	green	Luang Nam Tha, Laos	mɛŋ⁵³
839	Vietnam_314	green	Lao Cai, Vietnam	mɛŋ²¹⁴
112	Laos_112	green bean	Luang Nam Tha, Laos	tə.bwe³³miŋ⁵³
730	Vietnam_205	groom	Lao Cai, Vietnam	lɑŋ¹¹
731	Vietnam_206	guest	Lao Cai, Vietnam	ȶɛ⁵²
235	Laos_235	gums	Luang Nam Tha, Laos	ȵa³¹lɔŋ³⁵
23	Laos_23	hail	Luang Nam Tha, Laos	pjɔ²¹
222	Laos_222	hair	Luang Nam Tha, Laos	pje³³doŋ⁵³
602	Vietnam_77	hair of body	Lao Cai, Vietnam	pje²¹⁴
603	Vietnam_78	hair of body2	Lao Cai, Vietnam	------------
604	Vietnam_79	hair of head	Lao Cai, Vietnam	pi³³dɔŋ²¹⁴
